Earthquakes used: 293452
Non-empty cells (features): 9915

CUDA K-Means centroids:
Cluster 0 -> count_center=67.88, avgMag_center=4.79
Cluster 1 -> count_center=6.00, avgMag_center=4.80
Cluster 2 -> count_center=234.00, avgMag_center=4.80

========== TIMING RESULTS ==========
CUDA K-Means time (GPU only): 10.354 ms
Block size used:              128
====================================

Cluster ranking by activity:
Rank 0 -> Cluster 1 (quiet)
Rank 1 -> Cluster 0 (moderate)
Rank 2 -> Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-53.500,140.500,32,4.766,1,quiet
-53.500,141.500,3,4.567,1,quiet
-53.500,158.500,2,4.950,1,quiet
-53.500,159.500,13,4.869,1,quiet
-53.500,160.500,2,5.150,1,quiet
-52.500,-133.500,1,5.000,1,quiet
-52.500,-118.500,3,4.767,1,quiet
-52.500,-117.500,2,4.600,1,quiet
-52.500,-75.500,2,4.500,1,quiet
-52.500,-71.500,1,4.500,1,quiet
-52.500,-61.500,1,4.700,1,quiet
-52.500,-55.500,1,5.000,1,quiet
-52.500,-47.500,1,5.000,1,quiet
-52.500,-46.500,1,4.700,1,quiet
-52.500,-5.500,1,4.600,1,quiet
-52.500,-4.500,8,5.025,1,quiet
-52.500,9.500,3,5.033,1,quiet
-52.500,10.500,15,4.820,1,quiet
-52.500,11.500,6,4.967,1,quiet
-52.500,12.500,10,4.900,1,quiet
-52.500,13.500,16,4.881,1,quiet
-52.500,14.500,8,4.737,1,quiet
-52.500,15.500,11,4.782,1,quiet
-52.500,16.500,11,4.936,1,quiet
-52.500,17.500,9,4.844,1,quiet
-52.500,18.500,15,4.793,1,quiet
-52.500,19.500,8,4.650,1,quiet
-52.500,20.500,5,4.840,1,quiet
-52.500,21.500,11,4.736,1,quiet
-52.500,22.500,9,4.689,1,quiet
-52.500,25.500,16,4.806,1,quiet
-52.500,26.500,11,4.836,1,quiet
-52.500,27.500,30,4.850,1,quiet
-52.500,28.500,10,4.660,1,quiet
-52.500,101.500,1,4.700,1,quiet
-52.500,138.500,1,4.900,1,quiet
-52.500,139.500,10,4.990,1,quiet
-52.500,140.500,4,5.250,1,quiet
-52.500,141.500,2,4.500,1,quiet
-52.500,159.500,1,5.700,1,quiet
-52.500,160.500,2,4.600,1,quiet
-51.500,-72.500,1,4.800,1,quiet
-51.500,-71.500,1,5.200,1,quiet
-51.500,15.500,1,4.800,1,quiet
-51.500,16.500,1,4.500,1,quiet
-51.500,29.500,1,4.800,1,quiet
-51.500,93.500,1,4.800,1,quiet
-51.500,138.500,2,4.550,1,quiet
-51.500,139.500,29,4.962,1,quiet
-51.500,140.500,1,4.700,1,quiet
-51.500,147.500,1,4.700,1,quiet
-51.500,161.500,1,5.800,1,quiet
-51.500,162.500,2,4.950,1,quiet
-50.500,-117.500,1,4.600,1,quiet
-50.500,-115.500,1,4.600,1,quiet
-50.500,-114.500,3,5.233,1,quiet
-50.500,-113.500,1,4.900,1,quiet
-50.500,-74.500,1,4.700,1,quiet
-50.500,-72.500,1,5.400,1,quiet
-50.500,-28.500,1,5.100,1,quiet
-50.500,-27.500,1,4.600,1,quiet
-50.500,-7.500,5,4.660,1,quiet
-50.500,-6.500,2,4.700,1,quiet
-50.500,28.500,1,4.700,1,quiet
-50.500,29.500,1,5.100,1,quiet
-50.500,69.500,1,5.200,1,quiet
-50.500,96.500,1,4.700,1,quiet
-50.500,111.500,1,4.500,1,quiet
-50.500,112.500,30,4.673,1,quiet
-50.500,113.500,3,4.700,1,quiet
-50.500,114.500,9,5.000,1,quiet
-50.500,115.500,8,4.663,1,quiet
-50.500,116.500,2,4.650,1,quiet
-50.500,119.500,8,4.787,1,quiet
-50.500,120.500,6,4.650,1,quiet
-50.500,124.500,1,4.500,1,quiet
-50.500,126.500,1,4.600,1,quiet
-50.500,127.500,1,4.700,1,quiet
-50.500,128.500,1,4.500,1,quiet
-50.500,130.500,4,4.725,1,quiet
-50.500,131.500,1,4.500,1,quiet
-50.500,134.500,1,4.500,1,quiet
-50.500,135.500,1,4.900,1,quiet
-50.500,139.500,10,5.120,1,quiet
-50.500,161.500,2,4.650,1,quiet
-50.500,162.500,3,5.267,1,quiet
-49.500,-116.500,12,4.983,1,quiet
-49.500,-115.500,3,4.967,1,quiet
-49.500,-114.500,6,5.333,1,quiet
-49.500,-113.500,3,5.167,1,quiet
-49.500,-111.500,3,4.833,1,quiet
-49.500,-10.500,1,4.900,1,quiet
-49.500,-9.500,2,4.850,1,quiet
-49.500,-8.500,13,4.769,1,quiet
-49.500,-7.500,5,4.840,1,quiet
-49.500,30.500,7,4.714,1,quiet
-49.500,31.500,1,4.600,1,quiet
-49.500,68.500,2,4.650,1,quiet
-49.500,69.500,1,4.700,1,quiet
-49.500,105.500,6,4.733,1,quiet
-49.500,106.500,3,4.767,1,quiet
-49.500,107.500,2,4.500,1,quiet
-49.500,108.500,2,4.900,1,quiet
-49.500,109.500,3,4.767,1,quiet
-49.500,110.500,2,4.900,1,quiet
-49.500,111.500,5,4.560,1,quiet
-49.500,114.500,6,4.667,1,quiet
-49.500,115.500,5,4.680,1,quiet
-49.500,116.500,6,4.633,1,quiet
-49.500,117.500,10,4.740,1,quiet
-49.500,118.500,1,4.800,1,quiet
-49.500,119.500,1,4.500,1,quiet
-49.500,120.500,6,4.867,1,quiet
-49.500,121.500,16,4.750,1,quiet
-49.500,122.500,6,4.550,1,quiet
-49.500,123.500,9,4.633,1,quiet
-49.500,124.500,8,4.588,1,quiet
-49.500,125.500,16,4.669,1,quiet
-49.500,126.500,8,5.038,1,quiet
-49.500,127.500,12,4.683,1,quiet
-49.500,148.500,1,5.200,1,quiet
-49.500,163.500,7,4.871,1,quiet
-49.500,164.500,6,5.333,1,quiet
-48.500,-87.500,4,4.975,1,quiet
-48.500,-76.500,1,4.800,1,quiet
-48.500,-10.500,5,4.800,1,quiet
-48.500,-9.500,8,5.038,1,quiet
-48.500,-8.500,6,4.783,1,quiet
-48.500,30.500,3,4.533,1,quiet
-48.500,31.500,19,4.868,1,quiet
-48.500,85.500,1,4.600,1,quiet
-48.500,98.500,1,4.600,1,quiet
-48.500,99.500,9,5.011,1,quiet
-48.500,100.500,1,4.500,1,quiet
-48.500,104.500,4,4.875,1,quiet
-48.500,105.500,6,4.733,1,quiet
-48.500,106.500,8,4.862,1,quiet
-48.500,107.500,4,4.600,1,quiet
-48.500,108.500,4,4.650,1,quiet
-48.500,109.500,1,4.600,1,quiet
-48.500,110.500,1,4.600,1,quiet
-48.500,120.500,5,4.620,1,quiet
-48.500,121.500,12,4.700,1,quiet
-48.500,123.500,13,4.831,1,quiet
-48.500,124.500,9,4.767,1,quiet
-48.500,126.500,3,4.933,1,quiet
-48.500,127.500,1,5.100,1,quiet
-48.500,163.500,1,5.600,1,quiet
-48.500,164.500,3,4.633,1,quiet
-48.500,165.500,5,5.220,1,quiet
-47.500,-75.500,3,4.833,1,quiet
-47.500,-74.500,1,4.900,1,quiet
-47.500,-13.500,16,4.894,1,quiet
-47.500,-12.500,13,5.046,1,quiet
-47.500,-11.500,9,4.822,1,quiet
-47.500,-10.500,1,4.700,1,quiet
-47.500,-9.500,2,4.800,1,quiet
-47.500,32.500,3,4.833,1,quiet
-47.500,33.500,2,5.650,1,quiet
-47.500,84.500,1,4.900,1,quiet
-47.500,85.500,2,6.050,1,quiet
-47.500,99.500,14,5.171,1,quiet
-47.500,100.500,7,5.029,1,quiet
-47.500,102.500,3,4.767,1,quiet
-47.500,103.500,2,4.600,1,quiet
-47.500,115.500,9,4.989,1,quiet
-47.500,116.500,9,4.811,1,quiet
-47.500,160.500,1,5.500,1,quiet
-47.500,164.500,1,5.000,1,quiet
-47.500,165.500,13,5.008,1,quiet
-46.500,-75.500,4,5.100,1,quiet
-46.500,-69.500,1,4.900,1,quiet
-46.500,-16.500,1,5.000,1,quiet
-46.500,-14.500,1,5.100,1,quiet
-46.500,-13.500,2,4.650,1,quiet
