KMeans_ms 1 process: 0.895ms
										
Total lines processed: 293458					
Non-empty cells: 9915					
					
Cluster centroids (count	avgMag):				
Cluster 0: 11.86 4.92					
Cluster 1: 183.90 4.90					
Cluster 2: 640.09 4.92					
					
Cluster ranking:					
Rank 0: Cluster 0 (quiet)					
Rank 1: Cluster 1 (moderate)					
Rank 2: Cluster 2 (hotspot)					
					
Hotspot map:					
lat	lon	count	avgMag	cluster	label
-56.5	-45.5	1	5.2	0	quiet
-56.5	-36.5	2	5.95	0	quiet
-56.5	-31.5	1	4.6	0	quiet
-56.5	-30.5	21	4.838	0	quiet
-56.5	-29.5	4	4.575	0	quiet
-56.5	-28.5	20	4.918	0	quiet
-56.5	-27.5	498	5.003	2	hotspot
-56.5	-26.5	345	4.931	1	moderate
-56.5	-25.5	394	4.987	1	moderate
-56.5	-24.5	110	4.97	1	moderate
-56.5	-23.5	15	4.858	0	quiet
-56.5	-6.5	9	4.889	0	quiet
-56.5	-5.5	5	4.86	0	quiet
-56.5	-4.5	3	5	0	quiet
-56.5	-3.5	1	5.5	0	quiet
-56.5	145.5	1	4.8	0	quiet
-56.5	146.5	22	5	0	quiet
-56.5	147.5	75	5.221	0	quiet
-56.5	148.5	5	5.312	0	quiet
-56.5	157.5	2	6.3	0	quiet
-56.5	158.5	4	4.85	0	quiet
-56.5	159.5	1	4.7	0	quiet
-56.5	177.5	1	5.5	0	quiet
-55.5	-169.5	1	4.8	0	quiet
-55.5	-168.5	2	4.6	0	quiet
-55.5	-150.5	1	4.7	0	quiet
-55.5	-148.5	1	5	0	quiet
-55.5	-147.5	2	5.405	0	quiet
-55.5	-145.5	5	4.66	0	quiet
-55.5	-144.5	22	5	0	quiet
-55.5	-143.5	8	5.113	0	quiet
-55.5	-141.5	2	4.55	0	quiet
-55.5	-139.5	1	4.7	0	quiet
-55.5	-138.5	1	5.1	0	quiet
-55.5	-136.5	2	4.9	0	quiet
-55.5	-135.5	3	5.32	0	quiet
-55.5	-133.5	1	6.1	0	quiet
-55.5	-132.5	1	4.9	0	quiet
-55.5	-130.5	6	4.8	0	quiet
-55.5	-129.5	45	5.194	0	quiet
-55.5	-128.5	79	5.199	0	quiet
-55.5	-127.5	20	5.22	0	quiet
-55.5	-126.5	12	5.233	0	quiet
-55.5	-125.5	12	5.292	0	quiet
-55.5	-124.5	52	5.145	0	quiet
-55.5	-123.5	42	5.188	0	quiet
-55.5	-122.5	6	5.317	0	quiet
-55.5	-121.5	5	4.82	0	quiet
-55.5	-120.5	1	5.2	0	quiet
-55.5	-119.5	1	4.8	0	quiet
-55.5	-118.5	3	5.1	0	quiet
-55.5	-71.5	1	4.6	0	quiet
-55.5	-39.5	1	6.1	0	quiet
-55.5	-36.5	5	4.6	0	quiet
-55.5	-35.5	13	4.954	0	quiet
-55.5	-34.5	1	5	0	quiet
-55.5	-33.5	6	4.767	0	quiet
-55.5	-32.5	31	4.829	0	quiet
-55.5	-31.5	112	4.768	1	moderate
-55.5	-30.5	84	4.792	0	quiet
-55.5	-29.5	115	4.955	1	moderate
-55.5	-28.5	336	4.941	1	moderate
-55.5	-27.5	511	4.939	2	hotspot
-55.5	-26.5	277	4.865	1	moderate
-55.5	-25.5	46	4.852	0	quiet
-55.5	-24.5	14	5.015	0	quiet
-55.5	-23.5	1	5.1	0	quiet
-55.5	-21.5	2	4.75	0	quiet
-55.5	-15.5	1	5.8	0	quiet
-55.5	-4.5	7	5.596	0	quiet
-55.5	-3.5	3	5.533	0	quiet
-55.5	-2.5	5	5.656	0	quiet
-55.5	-1.5	33	5.004	0	quiet
-55.5	5.5	1	4.5	0	quiet
-55.5	76.5	1	4.7	0	quiet
-55.5	120.5	1	4.5	0	quiet
-55.5	125.5	1	4.5	0	quiet
-55.5	137.5	1	5.92	0	quiet
-55.5	140.5	1	4.5	0	quiet
-55.5	145.5	7	5.127	0	quiet
-55.5	146.5	39	5.293	0	quiet
-55.5	147.5	19	5.227	0	quiet
-55.5	149.5	1	4.5	0	quiet
-55.5	155.5	2	5	0	quiet
-55.5	158.5	33	4.975	0	quiet
-55.5	159.5	1	4.5	0	quiet
-55.5	160.5	1	6.1	0	quiet
-55.5	163.5	1	5.1	0	quiet
-54.5	-147.5	1	4.8	0	quiet
-54.5	-146.5	9	5.189	0	quiet
-54.5	-143.5	1	4.9	0	quiet
-54.5	-140.5	1	5	0	quiet
-54.5	-137.5	8	5.188	0	quiet
-54.5	-136.5	49	5.271	0	quiet
-54.5	-135.5	27	5.452	0	quiet
-54.5	-134.5	11	4.927	0	quiet
-54.5	-133.5	39	5.077	0	quiet
-54.5	-132.5	20	5.33	0	quiet
-54.5	-131.5	17	5.035	0	quiet
-54.5	-130.5	36	5.017	0	quiet
-54.5	-129.5	34	5.032	0	quiet
-54.5	-128.5	7	4.986	0	quiet
-54.5	-127.5	12	4.775	0	quiet
-54.5	-126.5	2	5.1	0	quiet
-54.5	-124.5	1	4.7	0	quiet
-54.5	-121.5	1	5	0	quiet
-54.5	-120.5	12	4.867	0	quiet
-54.5	-119.5	22	5.064	0	quiet
-54.5	-118.5	19	5.005	0	quiet
-54.5	-69.5	2	4.55	0	quiet
-54.5	-64.5	1	6.79	0	quiet
-54.5	-61.5	1	5	0	quiet
-54.5	-60.5	1	4.6	0	quiet
-54.5	-59.5	4	4.8	0	quiet
-54.5	-58.5	4	4.8	0	quiet
-54.5	-57.5	3	5.173	0	quiet
-54.5	-56.5	9	4.922	0	quiet
-54.5	-55.5	9	4.967	0	quiet
-54.5	-54.5	5	4.86	0	quiet
-54.5	-53.5	2	4.7	0	quiet
-54.5	-48.5	1	5	0	quiet
-54.5	-42.5	1	4.7	0	quiet
-54.5	-40.5	1	5	0	quiet
-54.5	-39.5	2	4.95	0	quiet
-54.5	-38.5	1	6.03	0	quiet
-54.5	-36.5	1	4.6	0	quiet
-54.5	-33.5	3	4.733	0	quiet
-54.5	-32.5	5	4.74	0	quiet
-54.5	-31.5	29	4.717	0	quiet
-54.5	-30.5	30	4.77	0	quiet
-54.5	-29.5	6	5.017	0	quiet
-54.5	-28.5	6	4.617	0	quiet
-54.5	-27.5	5	5.374	0	quiet
-54.5	-26.5	4	5.15	0	quiet
-54.5	-25.5	1	4.8	0	quiet
-54.5	-23.5	4	5.373	0	quiet
-54.5	-22.5	1	5	0	quiet
-54.5	-3.5	1	4.6	0	quiet
-54.5	-2.5	12	5.019	0	quiet
-54.5	-1.5	22	5.045	0	quiet
-54.5	-0.5	6	4.833	0	quiet
-54.5	0.5	5	5.32	0	quiet
-54.5	1.5	19	5.605	0	quiet
-54.5	2.5	6	5.715	0	quiet
